SMILES,logD
CC1=CC=C(C=C1)C(=O)NC2=CN=CC(=C2)C3=CC=CC=N3,2.41
CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC=CN=C2,0.87
COC1=CC=C(C=C1)NC(=O)C2=CC=CC=N2,1.63
CC1=NC=CC(=C1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,2.97
C1=CC=C(C=C1)NC(=O)C2=CC=CN=C2,1.52
CC(C)CC(=O)NC1=CN=CC(=C1)C2=CC=CC=N2,2.88
CC1=CC(=NO1)C(=O)NC2=CC=C(C=C2)F,2.15
COC1=CC(=CC(=C1)OC)NC(=O)C2=CC=CN=C2,1.40
CC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N,-0.12
OC(=O)C1=CC=CC=C1NC(=O)C2=CC=CN=C2,-0.55
CC1=CC=C(C=C1)S(=O)(=O)N,-1.10
CC1=CN=CC(=C1)NC(=O)C2=CC=C(C=C2)OC,1.92
C1CCC(CC1)NC(=O)C2=CC=CN=C2,0.74
CC(C)(C)OC(=O)NC1=CC=C(C=C1)C(=O)O,1.31
CC1=CC=CN=C1NC(=O)C2=CC=CC=C2,2.03
